Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,4.0,19.0,19.0,1.1,1000,19.0,1.0,0,19.0,7.0,21.0,1.0,0,20.0,3.0,20.0,1.0,0,1000,1.0,19.0,20,20.0
1.0,0,30.0,1.0,6.0,29.0,29.0,1.5,1000,29.0,3.0,0,29.0,10.0,30.0,1.0,0,30.0,4.0,30.0,2.0,0,1000,1.0,29.0,30,29.0
1.0,0,40.0,1.0,4.0,39.0,39.0,1.4,1000,39.0,2.0,0,39.0,10.0,40.0,1.0,0,40.0,4.0,40.0,1.0,0,1000,1.0,39.0,40,39.0
1.0,0,50.0,1.0,2.0,49.0,49.0,1.0,1000,49.0,1.0,0,49.0,14.0,50.0,1.0,0,50.0,1.0,50.0,1.0,0,1000,1.0,49.0,50,50.0
1.0,0,59.0,1.0,6.0,59.0,59.0,1.5,1000,59.0,3.0,0,59.0,12.0,60.0,1.0,0,59.0,5.0,60.1,2.0,0,1000,1.0,59.0,60,59.0
1.0,0,69.0,1.0,5.0,69.0,69.0,1.3,1000,69.0,2.0,0,69.0,13.0,70.0,1.0,0,69.0,4.0,70.0,1.0,0,1000,1.0,69.0,70,69.0
1.0,0,79.0,1.0,5.0,79.0,79.0,1.2,1000,79.0,2.0,0,79.0,9.0,80.0,1.0,0,79.0,4.0,80.1,1.0,0,1000,1.0,79.0,80,79.0
1.0,0,89.0,1.0,6.0,89.0,89.0,1.5,1000,89.0,3.0,0,89.0,20.0,90.0,1.0,0,89.0,5.0,90.1,2.0,0,1000,1.0,89.0,90,89.0
1.0,0,99.0,1.0,7.0,99.0,99.0,1.8,1000,99.0,4.0,0,99.0,21.0,100.0,1.0,0,99.0,6.0,100.1,3.0,0,1000,2.0,99.0,100,99.0
1.0,0,109.0,1.0,8.0,109.0,109.0,1.8,1000,109.0,4.0,0,109.0,13.0,110.0,1.0,0,109.0,7.0,110.1,2.0,0,1000,1.0,109.0,110,109.0
